L,A,B
60,-25.1875,33.140625
60,-20.1875,33.140625
60,-15.1875,33.140625
60,-10.1875,33.140625
60,-5.1875,33.140625
60,-0.1875,33.140625
60,4.8125,33.140625
60,9.8125,33.140625
60,14.8125,33.140625
60,19.8125,33.140625
60,24.8125,33.140625
60,29.8125,33.140625
60,34.8125,33.140625
60,39.8125,33.140625
60,44.8125,33.140625
60,49.8125,33.140625
60,54.8125,33.140625
60,59.8125,33.140625
60,64.8125,33.140625
60,69.8125,33.140625
60,74.8125,33.140625
60,79.8125,33.140625
60,-85.1875,38.140625
60,-80.1875,38.140625
60,-75.1875,38.140625
60,-70.1875,38.140625
60,-65.1875,38.140625
60,-60.1875,38.140625
60,-55.1875,38.140625
60,-50.1875,38.140625
60,-45.1875,38.140625
60,-40.1875,38.140625
60,-35.1875,38.140625
60,-30.1875,38.140625
60,-25.1875,38.140625
60,-20.1875,38.140625
60,-15.1875,38.140625
60,-10.1875,38.140625
60,-5.1875,38.140625
60,-0.1875,38.140625
60,4.8125,38.140625
60,9.8125,38.140625
60,14.8125,38.140625
60,19.8125,38.140625
60,24.8125,38.140625
60,29.8125,38.140625
60,34.8125,38.140625
60,39.8125,38.140625
60,44.8125,38.140625
60,49.8125,38.140625
60,54.8125,38.140625
60,59.8125,38.140625
60,64.8125,38.140625
60,69.8125,38.140625
60,74.8125,38.140625
60,79.8125,38.140625
60,-85.1875,43.140625
60,-80.1875,43.140625
60,-75.1875,43.140625
60,-70.1875,43.140625
60,-65.1875,43.140625
60,-60.1875,43.140625
60,-55.1875,43.140625
60,-50.1875,43.140625
60,-45.1875,43.140625
60,-40.1875,43.140625
60,-35.1875,43.140625
60,-30.1875,43.140625
60,-25.1875,43.140625
60,-20.1875,43.140625
60,-15.1875,43.140625
60,-10.1875,43.140625
60,-5.1875,43.140625
60,-0.1875,43.140625
60,4.8125,43.140625
60,9.8125,43.140625
60,14.8125,43.140625
60,19.8125,43.140625
60,24.8125,43.140625
60,29.8125,43.140625
60,34.8125,43.140625
60,39.8125,43.140625
60,44.8125,43.140625
60,49.8125,43.140625
60,54.8125,43.140625
60,59.8125,43.140625
60,64.8125,43.140625
60,69.8125,43.140625
60,74.8125,43.140625
60,79.8125,43.140625
60,-85.1875,48.140625
